index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
71,default,https://doujin-assets.dmm.co.jp/digital/cg/d_671186/d_671186pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_671186/,互いの母親と恋人になった僕と友達は…2,北極ホタル,CG,True,,,770,2221,,2
72,default,https://doujin-assets.dmm.co.jp/digital/cg/d_585510/d_585510pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_585510/,互いの母親と恋人になった僕と友達は…,北極ホタル,CG,False,50%OFF,385,770,4202,,5
73,default,https://doujin-assets.dmm.co.jp/digital/cg/d_620523/d_620523pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_620523/,ミスコン審査員の俺が爆乳JKと忖度子作りセックスで優勝する話,タニマとセイエキ,CG,False,50%OFF,550,1100,1281,,1
74,default,https://doujin-assets.dmm.co.jp/digital/cg/d_243131/d_243131pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_243131/,母子性裁 背徳のくびき〜中出しの日々が、私を変える…〜,子豚の館,CG,False,50%OFF,495,990,7290,,13
75,default,https://doujin-assets.dmm.co.jp/digital/cg/d_624973/d_624973pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_624973/,モッテモテなクラスの一軍ギャル「里香」の専属カメラマンになって二人三脚でモデルデビュー目指しながらいちゃらぶしまくる話,なのはなジャム,CG,False,50%OFF,385,770,6913,,7
76,default,https://doujin-assets.dmm.co.jp/digital/cg/d_271430/d_271430pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_271430/,義父に犯●れ 欲に流され 全集,ハチ公,CG,True,50%OFF,1210,2420,3618,,3
77,default,https://doujin-assets.dmm.co.jp/digital/cg/d_184320/d_184320pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_184320/,共学になった元男子校にチョロい性格の女の子がたった一人だけ入学したら・・・,んほぉ痴態,CG,False,60%OFF,396,990,41193,,51
78,default,https://doujin-assets.dmm.co.jp/digital/cg/d_682571/d_682571pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_682571/,ピュアでビッチな田舎の少女たち。,ホワイトノート,CG,False,50%OFF,330,660,1287,,
79,default,https://doujin-assets.dmm.co.jp/digital/cg/d_536823/d_536823pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_536823/,one room gal,tamangoworks,動画,False,50%OFF,990,1980,5936,,26
80,default,https://doujin-assets.dmm.co.jp/digital/cg/d_673170/d_673170pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_673170/,男女比1:39の平行世界は思いのほか異常（Fantia2025年7月〜9月まとめ）,きっさー,CG,False,,,1540,2374,,1
81,default,https://doujin-assets.dmm.co.jp/digital/cg/d_697930/d_697930pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_697930/,【dikkosan】11月号・超大量950枚！毎日楽しめるCG集！,ディッコ@FANZA,CG,False,,,1760,194,,5
82,default,https://doujin-assets.dmm.co.jp/digital/cg/d_652623/d_652623pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_652623/,男性失格〜女装メス社員に堕ちた彼の幸福な末路〜,トランス・トリビューン,CG,False,,,990,6328,,12
83,default,https://doujin-assets.dmm.co.jp/digital/cg/d_420303/d_420303pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_420303/,夏の夜、汗だくのまま幼馴染と交じり合った。2,南浜屋,CG,True,85%OFF,148,990,16334,,22
84,default,https://doujin-assets.dmm.co.jp/digital/cg/d_651834/d_651834pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_651834/,いもうと専用おにいちゃん2,セラホビット,動画,False,,,1540,2133,,7
85,default,https://doujin-assets.dmm.co.jp/digital/cg/d_200623/d_200623pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_200623/,共学になった元男子校にチョロい性格の女の子がたった一人だけ入学したら・・・2,んほぉ痴態,CG,False,60%OFF,396,990,27654,,26
86,default,https://doujin-assets.dmm.co.jp/digital/cg/d_360642/d_360642pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_360642/,【動画75分】合意なし！流出したレ〇プ記録（完全版） -部活帰りに連れ去られた女子学生-【大量追加】,リアルサウンド,動画,False,50%OFF,1320,2640,5342,,21
87,default,https://doujin-assets.dmm.co.jp/digital/cg/d_524126/d_524126pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_524126/,クール系店員さんシリーズ総集編【計40作品】,SigMart,CG,False,50%OFF,825,1650,21024,,7
88,default,https://doujin-assets.dmm.co.jp/digital/cg/d_393496/d_393496pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_393496/,ハメプリ！相性最強ま◯ことアプリでマッチング！,Tiramisu,CG,False,70%OFF,297,990,2587,,2
